SampleNumber	Tile	NumberOfReadsRaw	NumberOfReadsPF
3	1107	2649	2560
4	1107	710	676
5	1107	1811	1744
6	1107	1357	1302
7	1107	4864	4715
8	1107	2767	2665
9	1107	3334	3241
10	1107	1050	1009
11	1107	4697	4543
12	1107	1637	1007
13	1107	163	149
14	1107	1847	1800
15	1107	1820	1772
16	1107	2682	2599
17	1107	1351	1308
18	1107	2858	2776
19	1107	5469	5299
20	1107	1140	1092
21	1107	1174	1128
22	1107	168	161
23	1107	1306	1260
24	1107	4786	4637
25	1107	100	93
26	1107	957	912
27	1107	2866	2766
28	1107	1489	1356
29	1107	3390	3286
30	1107	7921	7653
31	1107	1147	1083
32	1107	3526	3415
33	1107	1170	1116
34	1107	5133	4989
35	1107	2659	2562
36	1107	1520	1462
37	1107	173	165
38	1107	5603	5442
39	1107	10309	10016
40	1107	2847	2754
41	1107	3841	3704
42	1107	7828	7600
43	1107	2555	2485
44	1107	1756	1661
45	1107	6725	6551
46	1107	3896	3760
47	1107	3109	2998
48	1107	693	668
49	1107	692	652
50	1107	7721	7465
51	1107	8778	8489
52	1107	4343	4194
53	1107	7325	7091
54	1107	3280	3175
55	1107	2411	2319
56	1107	3242	3148
57	1107	571	557
58	1107	4770	4618
59	1107	6056	5897
60	1107	3370	3260
61	1107	474	460
62	1107	3165	3068
63	1107	4784	4625
64	1107	1284	1237
65	1107	6220	6042
66	1107	4536	4416
67	1107	3540	3427
68	1107	2872	2772
69	1107	3441	3334
70	1107	8734	8444
71	1107	3263	3132
72	1107	5368	5217
73	1107	83	82
74	1107	6304	6086
75	1107	5241	5046
76	1107	6686	6516
77	1107	1841	1771
78	1107	1335	1287
79	1107	2214	2146
80	1107	907	857
81	1107	4194	4060
82	1107	1658	1606
83	1107	992	969
84	1107	7050	6817
85	1107	1519	1432
86	1107	4569	4432
87	1107	4438	4283
88	1107	608	587
89	1107	1892	1820
90	1107	1261	1232
91	1107	4648	4494
92	1107	1716	1660
93	1107	2166	2092
94	1107	899	874
95	1107	1526	1472
96	1107	1608	1534
0	1108	53908	52149
1	1108	2	2
2	1108	248	239
3	1108	2625	2564
4	1108	710	696
5	1108	1715	1666
6	1108	1423	1393
7	1108	5105	4983
8	1108	2695	2638
9	1108	3457	3370
10	1108	1026	1005
11	1108	4736	4626
12	1108	1000	971
13	1108	152	140
14	1108	1848	1803
15	1108	1893	1846
16	1108	2793	2713
17	1108	1342	1316
18	1108	2913	2834
19	1108	5679	5542
20	1108	1127	1097
21	1108	1168	1143
22	1108	185	182
23	1108	1289	1252
24	1108	4833	4747
25	1108	116	115
26	1108	956	935
27	1108	2925	2854
28	1108	1432	1386
29	1108	3645	3566
30	1108	7959	7760
31	1108	1206	1161
32	1108	3775	3679
33	1108	1148	1115
34	1108	5464	5332
35	1108	2670	2598
36	1108	1459	1410
37	1108	174	168
38	1108	5785	5652
39	1108	10421	10186
40	1108	2965	2890
41	1108	3920	3820
42	1108	7915	7737
43	1108	2653	2588
44	1108	1733	1696
45	1108	6816	6708
46	1108	3876	3775
47	1108	3168	3090
48	1108	714	687
49	1108	624	608
50	1108	7784	7615
51	1108	8904	8708
52	1108	4521	4403
53	1108	7412	7245
54	1108	3400	3319
55	1108	2527	2462
56	1108	3186	3124
57	1108	555	535
58	1108	4949	4814
59	1108	6135	6001
60	1108	3539	3456
61	1108	473	456
62	1108	3184	3114
63	1108	5030	4893
64	1108	1263	1221
65	1108	6333	6166
66	1108	4720	4609
67	1108	3545	3474
68	1108	2880	2792
69	1108	3689	3598
70	1108	9116	8913
71	1108	3348	3262
72	1108	5222	5102
73	1108	90	82
74	1108	6506	6338
75	1108	5478	5348
76	1108	6698	6552
77	1108	1822	1777
78	1108	1316	1284
79	1108	2222	2169
80	1108	1001	961
81	1108	4415	4296
82	1108	1704	1665
83	1108	1017	987
84	1108	7100	6906
85	1108	1482	1404
86	1108	4635	4538
87	1108	4360	4249
88	1108	632	624
89	1108	1992	1939
90	1108	1343	1309
91	1108	4690	4588
92	1108	1726	1681
93	1108	2165	2111
94	1108	886	851
95	1108	1552	1503
96	1108	1645	1593
0	1109	55159	53307
1	1109	4	3
2	1109	254	244
3	1109	2621	2546
4	1109	721	709
5	1109	1737	1689
6	1109	1454	1416
7	1109	5026	4898
8	1109	2770	2711
9	1109	3545	3447
10	1109	983	952
11	1109	4767	4656
12	1109	921	895
13	1109	164	141
14	1109	1861	1820
15	1109	1937	1880
16	1109	2688	2622
17	1109	1416	1381
18	1109	3053	2979
19	1109	5640	5498
20	1109	1157	1131
21	1109	1195	1161
22	1109	147	144
23	1109	1336	1301
24	1109	4930	4809
25	1109	94	94
26	1109	909	892
27	1109	3082	3004
28	1109	1397	1350
29	1109	3533	3439
30	1109	8060	7836
31	1109	1245	1189
32	1109	3813	3704
33	1109	1226	1196
34	1109	5395	5263
35	1109	2643	2567
36	1109	1486	1452
37	1109	163	159
38	1109	5724	5590
39	1109	10528	10234
40	1109	2969	2900
